Active 	BUS2017-01949	DODSON TECHNICAL SERVICES INC 	4925 E HUNTER AVE, 92807 	VIBRATION AND EQUIPMENT TEST SERVICE  
Finaled 	BUS2017-03770	CRAFT ARCHITECTS 	2505 THIRD AVE 324, 58898 	ARCHITECTURAL SERVICES 
Active 	BUS2017-03772	ROSITAS CLEANING 	2077 S SPINNAKER ST 1, 92802 	OFFICE USE ONLY FOR CLEANING SERVICES (NO EMPLOYEES)  
Active 	BUS2017-03773	ABC LAUDROMAT 4 	110 S WESTERN AVE, 92804 	COIN LUNDRY MACHINES 48 WASHERS 23 DRYERS 71 TOTAL MACHINES 
Active 	BUS2017-03774	SDL FIRE PROTECTION INC 	4354 E LA PALMA AVE, 92807 	OFFICE STORAGE SPACE FOR FIRE SPRINKLER INSTALLATION 
Active 	BUS2017-03775	MOLD SOLUTIONZ 24/7 	2303 E BALL RD 226, 92806 	OFFICE USE ONLY FOR MOLD REMEDIATION AND INSPECTION SERVICES (NO EMPLOYEES) (NO ON-SITE STORAGE OR TESTING PERMITTED) 
Currently Renewing 	BUS2017-03776	LUIS HIDALGO 	1640 W LINCOLN AVE, 92802 	GENERAL AUTOMOTIVE REPAIR/ TIRE SHOP (NO EMPLOYEES) 
Currently Renewing 	BUS2017-03777	ROSE TOBACCO CALIFORNIA INC  	3911 E LA PALMA AVE J, 92807 	WHOLESALE OF TOBACCO PRODUCTS 
Finaled 	BUS2017-03778	PC AVENUE 	3150 E LA PALMA AVE G, 92806 	COMPUTER REPAIR & SALES 
Active 	BUS2017-03779	PON INTERNATIONAL SIGNATURE SALON I 	5655 E LA PALMA AVE 140, 92807 	INDEPENDENT HAIR STYLIST STATE LIC#543036 EXP 09/30/2018 
Active 	BUS2017-03780	R L TATTOS 	1151 N EUCLID ST I, 92801 	TATTOO PARLOR (10 EMPLOYEES) 
Active 	BUS2017-03781	SUN BRITE ENERGY 	26377 JEFFERSON AVE E, 96986 	Electrical Contractor 
Active 	BUS2017-03782	C B L CUSTOM BUILDERS INC 	4300 CLUB VISTA DR, 59430 	General Building Contractor 
Active 	BUS2017-03783	FULL CHARGE LLC 	536-538 W LINCOLN AVE, 92805 	RETAIL SALES OF PHONE ACCESSORIES 
Active 	BUS2017-03784	EG PLUMBING & ROOTER INC 	15433 SATICOY ST, 87812 	Plumbing Contractor 
Active 	BUS2017-03785	BUI GENERAL CONTRACTING & DESIGNS I 	37725 OXFORD RD, 96986 	General Building Contractor 
Active 	BUS2017-03786	ZHIMIN LI 	1577 E BENMORE LN, 92805 	22 UNIT APARTMENT BUILDING OPERATORS 
Active 	BUS2017-03787	A A A AWNINGS INC 	7591 ACACIA AVE, 45301 	Manufactured Housing Contractor 
Active 	BUS2017-03788	ENDING ROOFING 	528 S HARRIS AVE, 36363 	Roofing Contractor 
Active 	BUS2017-03789	TEA STAIN STUDIO 	2120 S STATE COLLEGE BLVD 4002, 92806 	ONLINE SALES OF ART AND PINS 
Active 	BUS2017-03790	THE WORKS FLOOR & WALL 	979 S GENE AUTRY TRL, 93274 	General Building Contractor 
Currently Renewing 	BUS2017-03791	JOHNATHAN MARTINEZ 	1428 E ALCOVE WAY, 92805 	OFFICE USE ONLY FOR DIGITAL SERVICES AND CONSULTING 
Active 	BUS2017-03792	VICTORY HOME SERVICE 	1714 E BELMONT AVE, 92805 	OFFICE USE ONLY FOR HANDYMAN SERVICES (NO EMPLOYEES - NOT A CA LIC CONTRACTOR) 
Finaled 	BUS2017-03793	KENT ARCHITECTS 	4111 N PALM ST, 45788 	ARCHITECTURAL SERVICES 
Active 	BUS2017-03794	T H H CONSTRUCTION 	2271 W MALVERN ST 357, 45788 	General Building Contractor 
Active 	BUS2017-03795	E 4 CONTROL SYSTEMS INC 	38790 SKY CANYON DR, 96986 	Low Voltage Systems 
Active 	BUS2017-03796	BAKER SYSTEMS INC 	992 W 9TH ST, 49466 	Electrical Contractor 
Finaled 	BUS2017-03797	GUAJILLO MEXICAN GRILL 	1867 W KATELLA AVE, 92804 	FULL SERVICE RESTAURT 
Active 	BUS2017-03798	ANAHEIM DRIVING SCHOOL 	401 N BROOKHURST ST 108, 92801 	DRIVING SCHOOL (NO EMPLOYEES) 
Active 	BUS2017-03799	H N B MEDISKIN CORP 	520 N BROOKHURST ST 224, 92801 	SKINCARE SERVICE & PRODUCTS (NO EMPLOYEES) (NO MASSAGE ALLOWED) 
Active 	BUS2017-03800	1001 BYTES INC 	1265 N MANASSERO ST 301, 92807 	REPAIR OF ELECTRONICS & STORAGE (NO EMPLOYEES) (NO RETAIL ON-SITE) 
Active 	BUS2017-03801	HERIBERTO ALCANTAR ROOFING 	1709 S RENE DR, 45574 	Roofing Contractor 
Finaled 	BUS2017-03802	DESIGN AND DRAFTING 	1932 HAMPSHIRE RD, 45418 	DESIGN & DRAFTING 
Active 	BUS2017-03803	DAVID SWENSON MEDIA 	1127 S AMBRIDGE ST, 92806 	MARKETING FOR SOLAR COMPANIES (HOME OFFICE USE ONLY) 
Active 	BUS2017-03804	PACIFIC COAST FABRICATION INC 	1390 N HUNDLEY ST, 92806 	METAL FABRICATION AND TOOLING 
Active 	BUS2017-03805	JEFFREY ROME AND ASSOCIATES 	131 INNOVATION DR 100, 47521 	ARCHITECTURAL SERVICES 
Active 	BUS2017-03806	JEFFREY BEERS INTERNATIONAL LLC 	156 FIFTH AVE PH2, 22395 	INTERIOR DESIGN 
Active 	BUS2017-03807	FORMULA 1 INSURANCE SERVICES INC 	905 N EUCLID ST A, 92801 	INSURANCE SALES (STATE LIC 0I13196 EXP 12/31/2018 *** NO EMPLOYEES*** 
Active 	BUS2017-03808	JOSE A OSORIO 	5359 SHEILA ST, 37215 	General Building Contractor 
Active 	BUS2017-03809	TIER 1 LEAK DETECTION 	7629 E MOONRIDE LN, 45631 	Plumbing Contractor 
Active 	BUS2017-03810	HASTINGS & NELSON INC 	1185 PARK CENTER DR F, 97241 	Doors, Gates and Activating Devices 
Finaled 	BUS2017-03811	RUBEN RUIZ JR 	1791 S CAMPTON AVE 231, 92805 	OFFICE USE ONLY FOR OFF-SITE SOLAR PANEL CLEANING 
Active 	BUS2017-03812	LINCOLN MOWER SHOP 	2167 W LINCOLN AVE, 92801 	LAWN MOWER REPAIR AND MAINTENANCE *NO EMPLOYEES* 
Currently Renewing 	BUS2017-03813	ALEXANDRIA FRAGRANCES LLC 	800 S ANAHEIM BLVD, 92805 	RETAIL SALE OF FRAGRANCE OILS AND PERFUMES 
Active 	BUS2017-03814	CBS WINDOW AND DOOR INC 	2332 LA MIRADA DR 100, 97241 	Glazing Contractor 
Active 	BUS2017-03815	CARMEN CONTRERAS 	1556 W SUMAC LN, 92802 	OFFICE USE FOR BUSINESS CONSULTING AND TRANSLATING SERVICES ***SERVICES CONDUCTED OFF-STE ONLY*** (NO EMPLOYEES) 
Active 	BUS2017-03816	KRAEMER CARSTAR COLLISION CENTER 	2841 E LA PALMA AVE, 92806 	BODY REPAIR & PAINT SHOP (8 EMPLOYEES) 
Active 	BUS2017-03817	RICE HEATING AND AIR CONDITIONING 	24761 BRODIAEA AVE, 42424 	HVAC CONTRACTOR 
Active 	BUS2017-03818	JUNGLE DENTAL  	2156 E LINCOLN AVE, 92806 	DENTAL OFFICE **2 PROFESSIONAL EMPLOYEES / 2 NON-PROFESSIONAL EMPLOYEES** 
Active 	BUS2017-03819	DELILAHS CLOSET 	111 N BELINDA CIR 3, 92801 	OFFICE USE ONLY FOR ON-LINE RETAIL SALES OF CHILDREN'S CLOTHING 
Active 	BUS2017-03820	REINA ESCAMILLA 	421 N BROOKHURST ST 228J, 92801 	OFFICE USE FOR CLEANING SERVICES (NO EMPLOYEES) 
Active 	BUS2017-03821	CARDOSO AND ASSOCIATES INC 	3317 RAMONA DR, 45574 	ARCHITECTURAL & STRUCTURAL ENGINEERING SERVICES 
Active 	BUS2017-03822	CAFE SSING SSING INC 	2633 W WOODLAND DR, 92801 	CAFE / RESTAURANT 
Active 	BUS2017-03823	RECORD BOX 	3145 W LINDACITA LN, 92804 	OFFICE USE FOR MOBILE RETAIL OF VINYL RECORDS & AUDIO SERVICES  
Active 	BUS2017-03824	ELIM COFFEE 	2960 W ORANGE AVE 1, 92804 	OFFICE USE ONLY FOR WHOLESALE OF ROASTED COFFEE BEANS (GR INCLUDES BUS2017-03826 RENEWALS TO COME IN TOGETHER) 
Active 	BUS2017-03825	SMOOTH PLASTERING 	6600 PRESCOTT AVE, 47775 	Lathing and Plastering Contractor 
Active 	BUS2017-03826	CAFE ELIM 	2960 W ORANGE AVE 1, 92804 	OFFICE USE ONLY FOR WHOLESALE OF ROASTED COFFEE BEANS (GR REPORTED ON BUS2017-03824 RENEWALS TO COME IN TOGETHER) 
Active 	BUS2017-03827	APOKATA PSYCHOTHERAPY SERVICES 	5101 E LA PALMA AVE 100, 92807 	COUNSELING (MFT48352 EXP 09/30/2019) 
Active 	BUS2017-03828	KINGS INN ANAHEIM 	415 W KATELLA AVE, 92802 	HOTEL/MOTEL [TOT-0000112]  
Active 	BUS2017-03829	KOBOLD CONSTRUCTION CONCRETE INC 	8190 MISSION BLVD B337, 46893 	General Engineering Contractor 
Active 	BUS2017-03830	LOL MASSAGE (CHEN, YI) 	3010 W LINCOLN AVE A, 92804 	INDEPENDENT MASSAGE THERAPIST - YI CHEN (CAMTC LIC # 56561 EXP 05/15/2018) 
Active 	BUS2017-03831	ANAHEIM RADIATOR & AIR CONDITIONING 	746 N ANAHEIM BLVD, 92805 	GENERAL AUTOMOTIVE REPAIR SHOP (NO EMPLOYEES)  
Currently Renewing 	BUS2017-03832	FOSSIL & FARM 	3578 E ENTERPRISE DR, 92807 	MANUFACTURING & WHOLESALE OF CANDLES 
Active 	BUS2017-03833	CAL FORTY INC 	5130 E LA PALMA AVE 107, 92807 	ADMINISTRATIVE OFFICE USE FOR LANDSCAPING SERVICES (9 EMPLOYEES)  
Active 	BUS2017-03834	DESIMONE CONSULTING ENGINEERING GRO 	44 MONTGOMERY ST 2040, 56211 	STRUCTURAL ENGINEERING AND PROPERTY LOSS CONTROL 
Received 	BUS2017-03835	BIANCAS FAMILY CHILD CARE 	1841 E REDWOOD AVE, 92805 	LARGE FAMILY DAYCARE (MAX 14 CHILDREN) (2 EMPLOYEE) (LFD2017-00004)  
Active 	BUS2017-03836	PLATINUM OC CARPET CARE LLC 	6482 CYMBAL ST, 92807 	OFFICE USE ONLY FOR OFF-SITE CARPET, UPHOLSTERY AND TILE CLEANING (NO EMPLOYEES) 
Active 	BUS2017-03837	CRISTINA ARMISEN 	2106 W GLEN AVE, 92801 	OFFICE USE ONLY FOR OFF-SITE SALES OF ART AND RELATED MERCHANDISE 
Finaled 	BUS2017-03838	ETHOS ARCHITECTURE 	24542 CREEKVIEW DR, 48370 	ARCHITECTURAL SERVICES 
Finaled 	BUS2017-03839	RODGERS SECURITY SERVICE INC 	2299 W BALL RD (Temp Power Pole), 92804 	CHRISTMAS TREE LOT 11/20/2017-12/24/2017 SEP2017-00151 
Active 	BUS2017-03840	BOWS TO TOES DESIGNS 	930 S BARTON CT, 92808 	OFFICE USE ONLY FOR THE DESIGN AND SALES OF CHEERLEADING ITEMS 
Active 	BUS2017-03841	W T S CONSTRUCTION 	2300 PINION VALLEY DR, 23845 	GENERAL BUILDING CONTRACTOR 
Active 	BUS2017-03842	ALL ROADS AUTO DETAILING 	909 N LA PERLA ST, 92801 	OFFICE USE ONLY FOR OFF-SITE AUTO WASHING & DETAILING SERVICE 
Active 	BUS2017-03843	O C PRIME LOGISTICS LLC 	3574 DONALD AVE, 93590 	COURIER SERVICES 
Active 	BUS2017-03844	H M C ARCHITECTS 	3546 CONCOURS ST, 46274 	ARCHITECTURAL SERVICES 
Active 	BUS2017-03845	MOVE FITNESS 	160 S OLD SPRINGS RD 120, 92808 	PERSONAL AND GROUP FITNESS TRAINING (NO EMPLOYEES)  
Active 	BUS2017-03846	OUTLET 26 LLC 	1440 S ANAHEIM BLVD G22, 92805 	RETAIL SALES OF MEN'S CLOTHING  
Active 	BUS2017-03847	BROOKHURST PLAZA INN 	711 S BROOKHURST ST, 92804 	HOTEL/MOTEL  
Active 	BUS2017-03848	GUADALUPE QUINTANA MONTIEL 	517 E SYCAMORE ST C4, 92805 	CLEANING SERVICES 
Active 	BUS2017-03849	UNIQUE METAL DESIGNERS 	117 S MANCHESTER AVE, 92802 	WELDING SHOP 
Active 	BUS2017-03850	H & H HAWAIIAN SHAVE  	3001 EDGEWATER ST, 45498 	SHAVE ICE SALES 
Active 	BUS2017-03851	TASTY GARDEN 	1150 N HARBOR BLVD 160, 92801 	RESTAURANT 
Active 	BUS2017-03852	GIRLSRUNFAST.COM LLC 	2153 E VAUGHN STT, 28928 	TEMPORARY JEWELRY AND APPAREL SALES 
Active 	BUS2017-03853	AMAVII APPAREL 	2159 W FOREST LN, 92804 	OFFICE USE FOR ONLINE RETAIL SALES 
Active 	BUS2017-03854	ACCION ELECTRIC INC 	175 N PASEO RIO MORENO, 92807 	OFFICE USE ONLY FOR GENERAL BUILDING CONTRACTRO & ELECTRICAL CONTRACTOR 
Active 	BUS2017-03855	COMPASSIONATE CARE HOME HEALTH 	1811 W KATELLA AVE 245, 92804 	OFFICE USE FOR HEALTH CARE SERVICES ***NO PATIENTS SERVED ON-SITE*** (3 EMPLOYEES)  
Finaled 	BUS2017-03856	DIANNE K RODRIGUEZ 	140 S CHAPARRAL CT 150, 92807 	MASSAGE ESTABLISHMENT SUB-LEASING AT ANAHEIM HILLS PEDIATRIC THERAPY INC 
Active 	BUS2017-03857	PERFECT PAINT 	835 N ANAHEIM BLVD, 92805 	AUTO BODY REPAIR & PAINT SERVICE (NO EMPLOYEES) 
Active 	BUS2017-03858	DNC PLUMBING 	2627 LOMA AVE, 84421 	Plumbing Contractor 
Active 	BUS2017-03859	ARCELIA CLEANING SERVICE 	1119 W CHESTNUT ST, 92805 	HOME OFFICE FOR CLEANING SERVICES 
Active 	BUS2017-03860	MANNY'S LEAK INC 	9622 1/2 PARK ST, 38676 	Plumbing Contractor 
Active 	BUS2017-03861	MAPES CONSTRUCTION 	2334 INDIAN AVE, 46741 	General Building Contractor 
Active 	BUS2017-03862	NIKKYS HENNA TATTOO 	625 S EUCLID ST 18B, 92804 	HENNA TATTOO & EYEBROW THREADING (NO EMPLOYEES) 
Active 	BUS2017-03863	LAVA ISLAND &RUGBY SHOP 	111 W ORANGEWOOD AVE J2, 92802 	OFFICE USE ONLY FOR RETAIL SALES OF MEN'S CLOTHING 
Finaled 	BUS2017-03864	PACKING DISTRICT LLC 	412 S ANAHEIM BLVD, 92805 	1 DAY EVENT 12-9-2017 14 BOOTHS 
Active 	BUS2017-03865	MILLWORK PIONEERS INC 	1757 S CLAUDINA WAY, 92805 	Cabinet, Millwork and Finish Carpentry 
Active 	BUS2017-03866	STRATEGY2GROWTH LLC 	275 S REMINGTON CT, 92807 	OFFICE USE ONLY FOR MANAGEMENT CONSULTING 
Active 	BUS2017-03867	INTEGRITY CABLING SYSTEMS INCORPORA 	530 CRAIN ST E, 42456 	Electrical Contractor 
Finaled 	BUS2017-03868	MONK ANGAWD 	7079 E COLUMBUS DR, 92807 	OFFICE USE ONLY FOR RESALE OF APPAREL & CDS 
Finaled 	BUS2017-03869	UPLIFT NOW 	7079 E COLUMBUS DR, 92807 	OFFICE USE ONLY FOR ADMINSTRATIVE SERVICE OF BUSINESS 
Active 	BUS2017-03870	SO CAL COMFORT CUSTOM HEATING & AIR 	14458 RIO BRAVO RD, 42424 	Warm-Air Heating, Ventilating and Air Cond 
Active 	BUS2017-03871	ARMANDO QUINTANA MONTIEL 	736 N MAVIS ST 4, 92805 	OFFICE USE ONLY FOR CLEANING SERVICES (NO EMPLOYEES)  
Active 	BUS2017-03872	NU WOOD DESIGN 	25200 COMMERCENTRE DR, 47688 	Cabinet, Millwork and Finish Carpentry 
Active 	BUS2017-03873	D & G EDOG LLC 	1215 S EMPIRE ST 8, 92804 	IMPORT AND EXPORT OF CARS, DIAPERS, AND GENERAL MERCHANDISE 
Active 	BUS2017-03874	JONES CAHL & ASSOCIATES INC 	18090 BEACH BLVD 12, 45363 	CIVIL ENGINEER (4 EMPLOYEES)  
Active 	BUS2017-03875	CONNEXX BUSINESS 	704 S ROANNE ST, 92804 	OFFICE USE ONLY FOR MAINTENANCE AND CLEANING SERVICES (NO EMPLOYEES)  
Active 	BUS2017-03876	MIKE SHILL PAINTING 	1290 N LANCE LN, 92806 	PAINTING AND DECORATING CONTRACTOR 
Active 	BUS2017-03877	DOR 	16045 SHERMAN WAY 214, 87812 	Fire Protection 
Active 	BUS2017-03878	EZCARMART COM 	1237 S BROOKHURST ST, 92804 	RETAIL & RENTAL OF USED AUTOMOBILES 
Active 	BUS2017-03879	TIPPY TOES FAMILY DAYCARE 	2254 W FALMOUTH AVE, 92801 	SMALL DAYCARE - MAX CAPACITY 8 (CA LIC#304313250) 
Active 	BUS2017-03880	9ROUND 30 MIN KICKBOX FITNESS 	5655 E LA PALMA AVE 115, 92807 	30 MINUTE KICKBOX FITNESS GYM (3 EMPLOYEES) 
Active 	BUS2017-03881	BLUE PEAK ENGINEERING INC 	18543 YORBA LINDA BLVD 235, 47792 	CIVIL ENGINEERING CONSULTING SERVICES (NO EMPLOYEES)  
Finaled 	BUS2017-03882	SLIGHTLY DISTORTED PRODUCTIONS LLC 	440 W LOS FELIZ RD, 85020 	FILM PRODUCTION SERVICES (11-30-17 THRU 12-1-17) AT 1181 N KNOLLWOOD CIRCLE (25 EMPLOYEES)  
Active 	BUS2017-03883	ROLLIN SUSHI CAFE 	140 W CENTER STREET PROMENADE, 92805 	FULL SERVICE SUSHI RESTAURANT 
Active 	BUS2017-03884	UNITED CONSTRUCTION 	16651 GOTHARD ST E, 45363 	General Building Contractor 
Active 	BUS2017-03885	L M D FAMILY LAUNDROMAT 	2812 W BALL RD, 92804 	COIN OPERATED SELF SERVICE LAUNDRY STORE (71 MACHINES) 
Active 	BUS2017-03886	L M D FAMILY LAUNDROMAT 	2812 W BALL RD, 92804 	VENDING MACHINES 
Active 	BUS2017-03887	FUENTES CONSTRUCTION DESIGN BUILD 	10631 CASSINA AVE AVE, 38642 	General Building Contractor 
Active 	BUS2017-03888	THANH DIEP DELIVERY 	2107 W JUDITH LN, 92804 	ADMINISTRATIVE OFFICE USE FOR MEDICAL DELIVERY SERVICES (NO EMPLOYEES) 
Active 	BUS2017-03889	DAB FLOW LLC 	1811 W KATELLA AVE 239, 92804 	ADMINISTRATIVE OFFICE ONLY FOR IMPORT/EXPORT OF CLEANING PRODUCTS 
Active 	BUS2017-03890	ADIRONDACK STUDIOS 	439 COUNTY ROUTE 45, 22395 	Prefabricated Equipment 
Active 	BUS2017-03891	AMERICAN INDUSTRIAL CONTROL INC 	5577 E SANTA ANA CANYON RD, 92807 	OFFICE USE FOR WHOLESALE ELECTRICAL SUPPLIER DISTRIBUTOR (4 EMPLOYEES)  
Active 	BUS2017-03892	ELITE REMODELING GROUP INC 	22287 MULHOLLAND HWY 515, 82233 	General Building Contractor 
Active 	BUS2017-03893	FACILITY MAKERS INC 	10732 CHESTNUT AVE, 48986 	General Building Contractor 
Active 	BUS2017-03894	TRINETWORK INC 	930 N MONTEREY ST 237, 82811 	Low Voltage Systems & Electrical Contractor 
Active 	BUS2017-03895	SMARTCPA INC 	518 S BROOKHURST ST 4, 92804 	ACCOUNTING AND TAX SERVICES  
Active 	BUS2017-03896	LYDIA BEAN CLEANING SERVICES 	2515 W LINCOLN AVE 37, 92801 	OFFICE USE ONLY FOR OFF-SITE CLEANING SERVICES (NO EMPLOYEES) 
Active 	BUS2017-03897	CIVIL WORKS ENGINEERS INC 	3151 AIRWAY AVE T-1, 47540 	CIVIL ENGINEERING CONSULTING SERVICES (NO EMPLOYEES)  
Active 	BUS2017-03898	DIAMOND HOMES AND CONSTRUCTION INC 	1604 E RETFORD ST, 83326 	General Building Contractor 
Active 	BUS2017-03899	BENJAMIN QUACH 	1413 W CHATEAU AVE, 92802 	OFFICE USE ONLY FOR ONLINE SALES OF TOOLS (CLIENTS ON-SITE NO MORE THAN 6 VEHICLES OF 8 PEOPLE PER DAY) 
Active 	BUS2017-03900	GLEN STREET PARTNERS LLC 	916-917 S ROBERTS ST, 92802 	14 UNIT APARTMENT OPERATOR (916 & 917 S ROBERTS ST 7 EACH) 
Active 	BUS2017-03901	GUARDIAN INSULATION INC 	1185 N RED GUM ST, 92806 	General Building Contractor 
Active 	BUS2017-03902	CASA DEL VILLAR  	1160 N KRAEMER BLVD, 92806 	RESTAURANT  
Active 	BUS2017-03903	BAJA EXPLORATION 	246 VISTA GRANDE GLEN, 02331 	Water Well Drilling Contractor  
Active 	BUS2017-03904	NOODLE HOUSE 	613 N EUCLID ST, 92801 	FULL SERVICE RESTAURANT 
Finaled 	BUS2017-03905	COX COMPANY LLC 	4642 E GREENWOOD DR, 92807 	OFFICE USE FOR SERVICE AND REPAIR AND SALES OF HOUSEHOLD GOODS (NO EMPLOYEES)  
Active 	BUS2017-03906	1617 E BALL RD LLC 	1617 E BALL RD, 92805 	NON RESIDENTIAL BUILDING OPERATOR (SQ FT 26,071) 
Finaled 	BUS2017-03907	FHLMOVIE LLC 	9570 RESEARCH DR, 47521 	FILM PRODUCTION @ 5468 E LA PALMA AVE (SHOOTING DATES 12/08 - 12/10/2017) (30 EMPLOYEES) 
Active 	BUS2017-03908	QUALITY MERCHANDISE INC  	3343 W OLINDA LN, 92804 	OFFICE USE ONLY FOR ONLINE SALES OF GENERAL MERCHANDISE 
Active 	BUS2017-03909	PREMIER LANDSCAPE AND INTERIORSCAPE 	2318 E PARADISE RD, 92806 	OFFICE USE FOR GARDENING SERVICES & INTERIOR PLANT CARE (NO EMPLOYEES) 
Active 	BUS2017-03910	POKE-RIA 	5721 E SANTA ANA CANYON RD, 92807 	RESTAURANT 
Active 	BUS2017-03911	BTS EQUIPMENT UNLIMITED INC 	14372 OLD HWY 80, 93907 	General Engineering Contractor 
Active 	BUS2017-03912	TLM PARTNERS INC WHICH WILL DO BUSI 	3911 E LA PALMA AVE C, 92807 	WAREHOUSE OF JANITORIAL SUPPLIES WITH ACESSORY OFFICE FOR OFF-SITE EMPLOYEES (4 EMPLOYEES) 
Active 	BUS2017-03913	RISING STARR CONSTRUCTION INC 	23011 DE BERRY ST, 48254 	General Building Contractor 
Active 	BUS2017-03914	ERIC CONSTRUCTION INC 	3326 ANGELUS AVE, 00000 	GENERAL BUILDING CONTRACTOR 
Active 	BUS2017-03915	BEACH ACUPUNCTURE 	421 N BROOKHURST ST 216, 92801 	ACUPUNCTURE- CA STATE LIC# 9139 (NO MASSAGE THERAPY) 
Finaled 	BUS2017-03916	PASSION MASSAGE (NGUYEN, TOAN T) 	1877 W KATELLA AVE, 92804 	MASSAGE TECHNICIAN (NGUYEN, TOAN THI) CMTC #56035 EXP: 04/25/2018 
Active 	BUS2017-03917	ICM MANAGEMENT 	15691 ROSE LN, 48938 	DRAFTING SERVICES 
Active 	BUS2017-03918	HOME SEEKERS LENDING 	8175 E KAISER BLVD, 92808 	MORTGAGE BROKER (NO EMPLOYEES) 
Currently Renewing 	BUS2017-03919	CANE PROTEIN 	619 S GLENHURST DR,  	OFFICE USE FOR ONLINE RETAIL SALES OF CANE PROTEIN  
Active 	BUS2017-03920	M & M THREE MARBLE INC 	12024 YOUNGDALE AVE, 83623 	Ceramic and Mosaic Tile Contractor 
Active 	BUS2017-03921	CARLBROOK MORTGAGE 	1735 S BROOKHURST ST A, 92804 	OFFICE USE FOR REAL ESTATE AND RESIDENTIAL LOAN SERVICES (3 EMPLOYEES) 
Active 	BUS2017-03922	PLUMBING LEGION INC 	14748 GLENN DR, 39443 	Plumbing Contractor 
Active 	BUS2017-03923	PROVISION DENTAL LABORATORY 	2030 W LINCOLN AVE G,H, 92804 	DENTAL LAB (1 EMPLOYEE) 
Active 	BUS2017-03924	NUTRITION AND ENERGY EVA 	1270 S MAGNOLIA AVE, 92804 	OFFICE FOR CONSULTATIONS ON MEMBERSHIPS FOR HERBALIFE 
Active 	BUS2017-03925	RIXTON PRODUCTIONS, LLC 	8424 SANTA MONICA BLVD A258, 06578 	PROMOTER OF EVENTS (NO EMPLOYEES) 
Finaled 	BUS2017-03926	RIXTON PRODUCTIONS, LLC 	8424 SANTA MONICA BLVD A258, 06578 	WOOD WORK SHOWCASE @ DOWNTOWN FARMERS PARK SEP2017-00155 (14 BOOTHS, NO FOOD/RIDE BOOTHS) (EVENT DATE 12/02/2017) 
Currently Renewing 	BUS2017-03927	ESTELA ALBARRAN 	201 S MOUNTAIN VIEW, 45574 	CATERING TRUCK 
Active 	BUS2017-03928	R E SCHULTZ CONSTRUCTION INC 	1767 N. BATAVIA ST, 45498 	General Engineering Contractor 
Currently Renewing 	BUS2017-03929	KLUGER ARCHITECTS INC 	1855 CORONADO AVE, 35975 	ARCHITECTURAL SERVICES [LIC #C24283, EXP. 9-1-2019] 
Active 	BUS2017-03930	RISTO SALO DESIGN & ENGINEERING 	27492 BRIDGEWATER DR, 88576 	CONSULTANT, MECHANICAL DESING AND ENGINEERING 
Active 	BUS2017-03931	HAALAND BUILDERS INC 	7106 E COLUMBUS DR, 92807 	OFFICE USE FOR GENERAL BUILDING CONTRACTOR 
Active 	BUS2017-03932	CORONADO PALMS APARTMENTS 	1250 S EUCLID ST, 92802 	169 UNIT APARTMENT OPERATOR **NO LAUNDRY DEVICES**  
Active 	BUS2017-03933	ELITE FIRE SERVICE PROTECTION INC 	2526 S GRAND AVE, 33844 	Fire Protection 
Active 	BUS2017-03934	DESIGN WEST ENGINEERING INC 	275 W HOSPITALITY LN 100, 94231 	MECHANICAL, ELECTRICAL AND PLUMBING ENGINEERING SERVICES [LIC#M33209, EXP. 9-30-19] (2 PROFESSIONAL EMPLOYEES)  
Active 	BUS2017-03935	ASCEND 	2254 S LOARA ST, 92802 	OFFICE USE ONLY FOR ONLINE SALES OF GENERAL MERCHANDISE 
Active 	BUS2017-03936	MERJILS STEEL FABRICATION INC 	6925 CHERRY AVE, 58323 	General Engineering Contractor 
Active 	BUS2017-03937	A B S CARE AND SERVICE 	9209 BELMONT ST, 38676 	CAREGIVING SERVICES 
Active 	BUS2017-03938	JOLENE HO DELIVERY 	2949 W SKYWOOD CIR, 92804 	OFFICE USE ONLY FOR MOBILE MEDICATION DELIVERY (MARIJUANA PROHIBITED) (NO EMPLOYEES) 
Active 	BUS2017-03939	PETER CARL SANTIAGO 	2016 E NORMAN PL, 92806 	OFFICE USE ONLY FOR GRAPHIC DESIGN SERVICES 
Finaled 	BUS2017-03940	TOM ARRIOLA FLOORING 	2209 HOPE PL, 46274 	Flooring and Floor Covering 
Active 	BUS2017-03941	J D DEVELOPMENT 	6705 WARING AVE 1, 33844 	General Building Contractor 
Active 	BUS2017-03942	KEN OKAMOTO & ASSOCIATES INC 	3186 AIRWAY AVE F, 47540 	STRUCTURAL ENGINEER [LIC# C50792, EXP. 9-30-19] 
Active 	BUS2017-03943	TACOS MANUEL 	30 E ORANGETHORPE AVE 2, 92801 	RESTAURANT 
Finaled 	BUS2017-03944	DEIKE CONSTRUCTION COMPANY 	2727 NANTUCKET PL, 93590 	DRAFTING SERVICES 
Active 	BUS2017-03945	T M PAGE CONSTRUCTION INC 	1040 N GROVE ST G,  	PERSONAL STORAGE USE ***NO BUSINESS ACTIVITY*** 
Currently Renewing 	BUS2017-03946	TAYLOR DESIGN 	17850 FITCH, 47521 	ARCHITECTURAL SERVICES  
Active 	BUS2017-03947	MOMENTUM SOLAR 	3101 ENTERPRISE ST, 49901 	Electrical Contractor 
Active 	BUS2017-03948	ORCO ROOFING & WATERPROOFING 	7345 BEQUETTE AVE, 36929 	General Building Contractor 
